ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
FR,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,96065637.07,38426254.83,75738564.99,30295426,2022-12-31T00:00:00.000
IT,2014IT16RFOP018,Trento - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,9420908.88,4710454.44,1310710.84,655355.42,2019-12-31T00:00:00.000
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2017-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.86271367,422135408.94,240617183.1,85229634.31,48580891.56,2018-12-31T00:00:00.000
IT,2014IT16M2OP002,Puglia  - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20866653,10433326.5,0,0,2016-12-31T00:00:00.000
IT,2014IT16M2OP001,Molise  - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,6800000,3400000,0,0,2016-12-31T00:00:00.000
IE,2014IE16RFOP002,Southern & Eastern Regional Programme - IE - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,0,0,0,0,2019-12-31T00:00:00.000
ES,2014ES16RFOP008,Cantabria  - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,32617970,16308985,21608483.79,10804241.9,2020-12-31T00:00:00.000
PT,2014PT16M2OP001,Norte - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999963,36065127.11,30655358.04,27278615.8,23186823.43,2021-12-31T00:00:00.000
FR,2014FR05M2OP001,Guadeloupe et St Martin - ESF/ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,76.87882921,1646514.13,1267815.88,0,0,2018-12-31T00:00:00.000
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999986,84696695.14,71992190.87,0,0,2016-12-31T00:00:00.000
PT,2014PT16M2OP004,Azores - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999486,22736563.46,19326078.94,6322756.62,5374343.13,2020-12-31T00:00:00.000
PL,2014PL16M2OP015,Wielkopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999915,,,,,2016-12-31T00:00:00.000
SI,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999829,11851325,9481060,236494.89,189195.91,2017-12-31T00:00:00.000
ES,2014ES16RFOP015,Galicia  - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,132337351.96,105869881.57,40029626.21,32023700.97,2018-12-31T00:00:00.000
ES,2014ES16RFOP007,Canarias - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999994,66175747.43,56249385.32,10612298.79,9020453.97,2020-12-31T00:00:00.000
ES,2014ES16RFOP020,Navarra  - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,803027.5,401513.75,803027.5,401513.75,2021-12-31T00:00:00.000
