PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,United Kingdom,2008,9,Other activities,Zinc and compounds (as Zn),201
2025/12/15,France,2008,5,Waste and wastewater management,Vinyl chloride,104
2025/12/15,Slovakia,2021,2,Production and processing of metals,Cyanides (as total CN),1350
2025/12/15,Belgium,2020,6,Paper and wood production and processing,Pentachlorophenol (PCP),4.21
2025/12/15,Iceland,2009,7,Intensive livestock production and aquaculture,Total nitrogen,236300
2025/12/15,Belgium,2020,4,Chemical industry,Phenols (as total C),220
2025/12/15,Sweden,2014,4,Chemical industry,Nickel and compounds (as Ni),178
2025/12/15,Slovakia,2017,2,Production and processing of metals,Di-(2-ethyl hexyl) phthalate (DEHP),252
2025/12/15,Belgium,2021,2,Production and processing of metals,Chlorides (as total Cl),17130000
2025/12/15,Portugal,2016,6,Paper and wood production and processing,Fluorides (as total F),8880
2025/12/15,Portugal,2022,3,Mineral industry,Zinc and compounds (as Zn),211
2025/12/15,France,2015,2,Production and processing of metals,Cyanides (as total CN),1186
2025/12/15,Serbia,2016,2,Production and processing of metals,Cadmium and compounds (as Cd),7
2025/12/15,Belgium,2016,3,Mineral industry,Nickel and compounds (as Ni),143.1
2025/12/15,Italy,2017,2,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),174
2025/12/15,Netherlands,2009,5,Waste and wastewater management,Isoproturon,5.08
2025/12/15,Lithuania,2013,5,Waste and wastewater management,Copper and compounds (as Cu),222
2025/12/15,Netherlands,2014,1,Energy sector,Chlorides (as total Cl),94100000
2025/12/15,Austria,2014,5,Waste and wastewater management,Nickel and compounds (as Ni),3842.9
2025/12/15,Lithuania,2009,5,Waste and wastewater management,Total phosphorus,44960
2025/12/15,France,2022,2,Production and processing of metals,Naphthalene,75.900003
2025/12/15,Finland,2010,3,Mineral industry,Total nitrogen,53300
2025/12/15,Romania,2010,2,Production and processing of metals,Nickel and compounds (as Ni),3141
2025/12/15,Austria,2021,2,Production and processing of metals,Trichloromethane,23.3
2025/12/15,Slovakia,2014,1,Energy sector,Total organic carbon(as total C or COD/3) (TOC),233000
2025/12/15,Czechia,2020,2,Production and processing of metals,Cadmium and compounds (as Cd),23.97
2025/12/15,Belgium,2015,2,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),68.4
2025/12/15,Hungary,2024,5,Waste and wastewater management,Fluorides (as total F),4820
2025/12/15,Romania,2012,4,Chemical industry,"1,2-dichloroethane (DCE-1,2)",220
2025/12/15,Slovakia,2009,4,Chemical industry,"1,2-dichloroethane (DCE-1,2)",329
2025/12/15,Italy,2007,9,Other activities,Polychlorinated biphenyls (PCBs),0.1
2025/12/15,Belgium,2023,8,Animal and vegetable products from the food and beverage sector,Total phosphorus,16050
2025/12/15,Italy,2012,6,Paper and wood production and processing,Arsenic and compounds (as As),189.54999999999998
2025/12/15,Austria,2018,2,Production and processing of metals,Nickel and compounds (as Ni),1035.3
2025/12/15,Spain,2008,1,Energy sector,Mercury and compounds (as Hg),7.43
2025/12/15,Hungary,2015,6,Paper and wood production and processing,Total organic carbon(as total C or COD/3) (TOC),261000
2025/12/15,Spain,2007,4,Chemical industry,Naphthalene,25.6
2025/12/15,Latvia,2008,5,Waste and wastewater management,Copper and compounds (as Cu),450
2025/12/15,Norway,2015,3,Mineral industry,Copper and compounds (as Cu),311
2025/12/15,Belgium,2023,4,Chemical industry,Hexachlorobutadiene (HCBD),1.26
2025/12/15,United Kingdom,2013,2,Production and processing of metals,Cyanides (as total CN),1460
2025/12/15,Denmark,2023,1,Energy sector,Total nitrogen,5820
2025/12/15,Slovenia,2012,5,Waste and wastewater management,Halogenated organic compounds (as AOX),1540
2025/12/15,Denmark,2012,5,Waste and wastewater management,Cadmium and compounds (as Cd),6
2025/12/15,Czechia,2016,1,Energy sector,Arsenic and compounds (as As),1597.08
2025/12/15,Germany,2022,2,Production and processing of metals,Chlorides (as total Cl),3510000
2025/12/15,Romania,2016,4,Chemical industry,Chromium and compounds (as Cr),73
2025/12/15,Poland,2016,3,Mineral industry,Total nitrogen,486900
2025/12/15,Ireland,2024,5,Waste and wastewater management,Polycyclic aromatic hydrocarbons (PAHs),17.84
2025/12/15,Slovakia,2011,2,Production and processing of metals,Halogenated organic compounds (as AOX),1580
2025/12/15,Spain,2018,,,Cyanides (as total CN),857
2025/12/15,Lithuania,2007,5,Waste and wastewater management,Total phosphorus,113760
2025/12/15,Spain,2010,5,Waste and wastewater management,Polycyclic aromatic hydrocarbons (PAHs),29
2025/12/15,Ireland,2018,1,Energy sector,Phenols (as total C),148.72
2025/12/15,Spain,2015,6,Paper and wood production and processing,Copper and compounds (as Cu),121.2
2025/12/15,Italy,2014,5,Waste and wastewater management,Trifluralin,10
2025/12/15,France,2019,1,Energy sector,"Benzo(g,h,i)perylene",2.05
2025/12/15,Serbia,2023,2,Production and processing of metals,Cadmium and compounds (as Cd),6.08
2025/12/15,Sweden,2019,1,Energy sector,PCDD + PCDF (dioxins + furans) (as Teq),0.0068
