PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,France,2007,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Hydro-fluorocarbons (HFCS),726
2025/12/15,Sweden,2024,3,Mineral industry,3(c),Chromium and compounds (as Cr),131.08
2025/12/15,Italy,2010,3,Mineral industry,3(c),Polychlorinated biphenyls (PCBs),16.258
2025/12/15,United Kingdom,2014,2,Production and processing of metals,2(f),Dichloromethane (DCM),2980
2025/12/15,Poland,2011,4,Chemical industry,4(c),Sulphur oxides (SOX),3677000
2025/12/15,France,2015,9,Other activities,9(d),Naphthalene,103
2025/12/15,Czechia,2018,7,Intensive livestock production and aquaculture,7(a)(iii),Carbon monoxide (CO),42
2025/12/15,Netherlands,2008,1,Energy sector,1(c),Zinc and compounds (as Zn),1670
2025/12/15,Netherlands,2008,9,Other activities,9(a),Hydrochlorofluorocarbons (HCFCs),89.3
2025/12/15,Germany,2016,1,Energy sector,1(a),Nickel and compounds (as Ni),744.4
2025/12/15,Poland,2013,4,Chemical industry,4(c),Particulate matter (PM10),746000
2025/12/15,Portugal,2017,5,Waste and wastewater management,5(d),Toluene,294
2025/12/15,Portugal,2008,2,Production and processing of metals,2(c)(iii),Arsenic and compounds (as As),55
2025/12/15,Estonia,2024,1,Energy sector,1(b),Benzene,467000
2025/12/15,Portugal,2010,2,Production and processing of metals,2(b),Particulate matter (PM10),83000
2025/12/15,Germany,2007,5,Waste and wastewater management,5(a),Fluorine and inorganic compounds (as HF),13700
2025/12/15,Netherlands,2014,4,Chemical industry,4(a)(viii),Benzene,8110
2025/12/15,Norway,2015,3,Mineral industry,3(f),Chlorides (as total Cl),41
2025/12/15,United Kingdom,2017,2,Production and processing of metals,2(a),Mercury and compounds (as Hg),98.1
2025/12/15,United Kingdom,2017,2,Production and processing of metals,2(a),Chromium and compounds (as Cr),421
2025/12/15,Italy,2009,3,Mineral industry,3(c),Mercury and compounds (as Hg),53.4
2025/12/15,Italy,2014,4,Chemical industry,4(a),Particulate matter (PM10),218000
