PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Poland,2011,5,Waste and wastewater management,5(f),"1,2-dichloroethane (DCE-1,2)",171.2
2025/12/15,Italy,2023,4,Chemical industry,4(b),Fluorides (as total F),94094.0755
2025/12/15,Spain,2017,4,Chemical industry,4(a)(x),"Chloro-alkanes, C10-C13",5.74
2025/12/15,United Kingdom,2011,7,Intensive livestock production and aquaculture,7(b),Copper and compounds (as Cu),88137
2025/12/15,Czechia,2018,1,Energy sector,1(c),Fluorides (as total F),22612.730409999996
2025/12/15,Austria,2014,2,Production and processing of metals,2(c),Zinc and compounds (as Zn),211
2025/12/15,Poland,2020,4,Chemical industry,4(a),Phenols (as total C),46.6
2025/12/15,Poland,2008,4,Chemical industry,4(c),Halogenated organic compounds (as AOX),1610
2025/12/15,Slovenia,2008,6,Paper and wood production and processing,6(b),Total organic carbon(as total C or COD/3) (TOC),386400
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,5(d),Fluorides (as total F),3710
2025/12/15,Belgium,2011,4,Chemical industry,4(b)(iv),Lead and compounds (as Pb),56.1
2025/12/15,Hungary,2023,5,Waste and wastewater management,5(c),Total nitrogen,242700
2025/12/15,Denmark,2019,4,Chemical industry,4(b)(iv),Zinc and compounds (as Zn),10.4
2025/12/15,Poland,2015,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),1863.1000000000001
2025/12/15,Spain,2024,5,Waste and wastewater management,5(f),Naphthalene,67.8
2025/12/15,Germany,2015,5,Waste and wastewater management,5(f),Atrazine,1.15
2025/12/15,Belgium,2011,6,Paper and wood production and processing,6(a),Zinc and compounds (as Zn),234
2025/12/15,Finland,2022,4,Chemical industry,4(c),Fluorides (as total F),56800
2025/12/15,Latvia,2023,5,Waste and wastewater management,5(f),Nickel and compounds (as Ni),257
2025/12/15,Poland,2013,4,Chemical industry,4(b),Mercury and compounds (as Hg),47.59
2025/12/15,Spain,2018,4,Chemical industry,4(a)(viii),Halogenated organic compounds (as AOX),13700
2025/12/15,Italy,2015,2,Production and processing of metals,2(e),Chromium and compounds (as Cr),389
2025/12/15,Malta,2008,1,Energy sector,1(c),Lead and compounds (as Pb),1030
2025/12/15,Germany,2011,3,Mineral industry,3(b),Chlorides (as total Cl),2570000
2025/12/15,France,2015,4,Chemical industry,4(a)(viii),Chlorides (as total Cl),163470000
2025/12/15,Spain,2014,2,Production and processing of metals,2(b),Cyanides (as total CN),4340
2025/12/15,Germany,2013,1,Energy sector,1(c),Total nitrogen,1637900
2025/12/15,Slovakia,2011,6,Paper and wood production and processing,6(b),Mercury and compounds (as Hg),1.88
2025/12/15,Spain,2014,4,Chemical industry,4(b)(iv),Chlorides (as total Cl),990370000
2025/12/15,Switzerland,2018,4,Chemical industry,4(e),Arsenic and compounds (as As),21.6
2025/12/15,Switzerland,2020,5,Waste and wastewater management,5(g),Zinc and compounds (as Zn),221
2025/12/15,Austria,2024,5,Waste and wastewater management,5(f),Halogenated organic compounds (as AOX),2890
2025/12/15,France,2022,1,Energy sector,1(a),Cadmium and compounds (as Cd),30.700001
2025/12/15,Portugal,2010,5,Waste and wastewater management,5(f),Fluoranthene,3.68
2025/12/15,Germany,2017,4,Chemical industry,4(b)(iv),Lead and compounds (as Pb),299.1
2025/12/15,Hungary,2007,5,Waste and wastewater management,5(f),Nickel and compounds (as Ni),2520
2025/12/15,Malta,2011,5,Waste and wastewater management,5(f),Total nitrogen,495000
2025/12/15,United Kingdom,2016,1,Energy sector,1(a),Total nitrogen,103000
2025/12/15,Switzerland,2009,5,Waste and wastewater management,5(f),Total nitrogen,6513000
2025/12/15,Belgium,2010,4,Chemical industry,4(a)(iii),Chlorides (as total Cl),4690000
2025/12/15,Spain,2015,4,Chemical industry,4(a)(viii),PCDD + PCDF (dioxins + furans) (as Teq),0.00013
2025/12/15,Italy,2016,2,Production and processing of metals,2(c),Cyanides (as total CN),4970
2025/12/15,Greece,2018,1,Energy sector,1(c),Mercury and compounds (as Hg),7.46
2025/12/15,Romania,2023,5,Waste and wastewater management,5(f),Cadmium and compounds (as Cd),70
