PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Spain,2007,1,Energy sector,Polychlorinated biphenyls (PCBs),8.94
2025/12/15,Finland,2010,3,Mineral industry,Mercury and compounds (as Hg),32
2025/12/15,France,2017,1,Energy sector,Perfluorocarbons (PFCs),8190
2025/12/15,Switzerland,2021,8,Animal and vegetable products from the food and beverage sector,Nitrogen oxides (NOX),2790
2025/12/15,Italy,2019,1,Energy sector,Nitrous oxide (N2O),529115.5
2025/12/15,Sweden,2012,1,Energy sector,Nitrogen oxides (NOX),4151000
2025/12/15,Poland,2009,6,Paper and wood production and processing,Nitrous oxide (N2O),13000
2025/12/15,Belgium,2009,9,Other activities,Non-methane volatile organic compounds (NMVOC),3401000
2025/12/15,France,2020,,,Methane (CH4),1617000
2025/12/15,Sweden,2022,5,Waste and wastewater management,Carbon dioxide (CO2),4193000000
2025/12/15,United Kingdom,2014,1,Energy sector,PCDD + PCDF (dioxins + furans) (as Teq),0.007615
2025/12/15,Portugal,2018,6,Paper and wood production and processing,Zinc and compounds (as Zn),2788
2025/12/15,Norway,2014,1,Energy sector,Carbon dioxide (CO2),4491000000
2025/12/15,Switzerland,2021,2,Production and processing of metals,Lead and compounds (as Pb),2380
2025/12/15,Germany,2008,1,Energy sector,Carbon dioxide (CO2),362786000000
2025/12/15,Czechia,2014,4,Chemical industry,Mercury and compounds (as Hg),156.9
2025/12/15,France,2017,4,Chemical industry,Mercury and compounds (as Hg),144.9
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,Hydrochlorofluorocarbons (HCFCs),11528.96
2025/12/15,United Kingdom,2008,5,Waste and wastewater management,Methane (CH4),437642000
2025/12/15,Germany,2015,1,Energy sector,Nitrogen oxides (NOX),208890000
2025/12/15,Norway,2012,4,Chemical industry,Particulate matter (PM10),378000
2025/12/15,France,2014,6,Paper and wood production and processing,Mercury and compounds (as Hg),33.1
2025/12/15,Spain,2016,9,Other activities,Non-methane volatile organic compounds (NMVOC),15092000
2025/12/15,Germany,2021,1,Energy sector,Non-methane volatile organic compounds (NMVOC),4299000
2025/12/15,Estonia,2021,1,Energy sector,Benzene,341000
2025/12/15,Czechia,2013,5,Waste and wastewater management,Methane (CH4),1865000
2025/12/15,Italy,2022,1,Energy sector,Chromium and compounds (as Cr),7699.1252
2025/12/15,France,2012,5,Waste and wastewater management,Carbon dioxide (CO2),8738000000
2025/12/15,Latvia,2018,1,Energy sector,Nitrogen oxides (NOX),1218000
2025/12/15,Slovenia,2022,2,Production and processing of metals,Sulphur oxides (SOX),124745
2025/12/15,Slovenia,2022,1,Energy sector,Nitrogen oxides (NOX),2043864
2025/12/15,Germany,2013,4,Chemical industry,Zinc and compounds (as Zn),12613
2025/12/15,Czechia,2022,,,Hydro-fluorocarbons (HFCS),3139.8949999999995
2025/12/15,Denmark,2019,8,Animal and vegetable products from the food and beverage sector,Sulphur oxides (SOX),333397
2025/12/15,Greece,2022,7,Intensive livestock production and aquaculture,Ammonia (NH3),44200
2025/12/15,Spain,2009,,,Methane (CH4),938000
