PublicationDate,countryName,reportingYear,wasteTreatment,wasteClassification,wasteTransfers
2025/12/15,Greece,2024,Recovery,HW,311313.7470000001
2025/12/15,Switzerland,2015,Disposal,HW,416510.1759999999
2025/12/15,Luxembourg,2009,Disposal,HW,31533.534
2025/12/15,Belgium,2014,Disposal,NONHW,2431564.946
2025/12/15,Finland,2020,Recovery,NONHW,6989649.600000001
2025/12/15,Austria,2018,Disposal,HW,324171.85699999996
2025/12/15,Germany,2015,Recovery,NONHW,63735108.562
2025/12/15,Belgium,2015,Recovery,HW,1133566.4519999996
2025/12/15,Cyprus,2012,Disposal,HW,116
2025/12/15,Austria,2017,Disposal,NONHW,1644645.216
2025/12/15,Malta,2011,Disposal,HW,1433.4199999999998
2025/12/15,Estonia,2020,Disposal,HW,19683.307000000004
2025/12/15,Portugal,2008,Recovery,HW,107233.27100000001
2025/12/15,France,2011,Disposal,HW,2004154.6600999997
2025/12/15,Serbia,2017,Disposal,HW,28022
2025/12/15,France,2009,Recovery,HW,998424.1499000003
2025/12/15,United Kingdom,2017,Recovery,NONHW,87769822.93
2025/12/15,Germany,2015,Disposal,NONHW,17772819.807000004
2025/12/15,France,2023,Recovery,HW,2180624.500166
2025/12/15,Belgium,2019,Recovery,HW,1190410.756
2025/12/15,Hungary,2015,Recovery,NONHW,1705710
2025/12/15,Hungary,2007,Recovery,NONHW,1017757.171
2025/12/15,Finland,2021,Recovery,NONHW,7431100.4
2025/12/15,France,2018,Recovery,NONHW,28670856.377280015
2025/12/15,Finland,2018,Disposal,HW,772883.6499999999
2025/12/15,Romania,2010,Disposal,HW,105879.57299999999
2025/12/15,Portugal,2008,Recovery,NONHW,1641705.2799999998
2025/12/15,Iceland,2016,Disposal,NONHW,593
2025/12/15,Romania,2019,Disposal,HW,63692.9809
2025/12/15,Serbia,2017,Recovery,NONHW,667010
2025/12/15,Spain,2013,Disposal,HW,956551.0843
2025/12/15,Spain,2008,Disposal,NONHW,11573480.337
2025/12/15,Germany,2007,Disposal,NONHW,8755687.481999999
2025/12/15,Slovenia,2023,Disposal,NONHW,228493.15999999997
2025/12/15,Bulgaria,2013,Recovery,NONHW,704890
2025/12/15,Luxembourg,2023,Disposal,HW,17175.949999999997
2025/12/15,Cyprus,2015,Disposal,NONHW,336
2025/12/15,Poland,2013,Disposal,NONHW,14678489.180999998
2025/12/15,Poland,2017,Disposal,NONHW,17569712.449
2025/12/15,Poland,2019,Recovery,NONHW,57271610.093
2025/12/15,Hungary,2017,Recovery,NONHW,2840670
2025/12/15,Serbia,2022,Disposal,NONHW,199193.437
2025/12/15,Bulgaria,2021,Recovery,NONHW,1482398
2025/12/15,Lithuania,2011,Disposal,NONHW,32480
2025/12/15,Spain,2009,Disposal,HW,1011155.1088
2025/12/15,Belgium,2011,Recovery,NONHW,12420632.588000001
2025/12/15,Sweden,2024,Recovery,HW,648954.366
2025/12/15,Slovenia,2017,Recovery,HW,42827.802
2025/12/15,Sweden,2018,Disposal,HW,321645.65799999994
2025/12/15,Slovenia,2011,Disposal,NONHW,539539.922
2025/12/15,Iceland,2007,Disposal,HW,4.23
2025/12/15,Estonia,2010,Recovery,NONHW,793416.9
2025/12/15,Italy,2014,Recovery,HW,1682475.6709999999
2025/12/15,United Kingdom,2008,Disposal,NONHW,44967737.699999996
2025/12/15,Lithuania,2014,Disposal,HW,1962.9500000000003
2025/12/15,Germany,2022,Recovery,HW,11034717.64857
2025/12/15,Sweden,2018,Recovery,NONHW,6640456
2025/12/15,Finland,2015,Recovery,NONHW,5732340.58
2025/12/15,Czechia,2018,Disposal,NONHW,1238138.736454
2025/12/15,Hungary,2013,Recovery,NONHW,1274338
2025/12/15,France,2016,Disposal,NONHW,5165876.937999999
2025/12/15,Sweden,2015,Disposal,HW,534672.543
2025/12/15,Romania,2019,Recovery,HW,107787.09900000002
2025/12/15,Hungary,2023,Disposal,NONHW,2420558.3200000003
2025/12/15,Belgium,2011,Disposal,NONHW,1662861.67
2025/12/15,Slovenia,2013,Recovery,NONHW,489731
2025/12/15,Slovakia,2015,Recovery,NONHW,808144.5
2025/12/15,Malta,2018,Recovery,NONHW,14570.26
2025/12/15,Czechia,2011,Recovery,NONHW,1941015.1930000002
2025/12/15,Estonia,2023,Disposal,NONHW,79734.749
2025/12/15,Germany,2010,Disposal,NONHW,12208159.011099998
