instrument,sample,spec,n,G,F_cluster,p_F,partial_R2,fs_coef,fs_se,k,cr1_reliable
Z_G100xG100,EU15,S3 +GDPpc2013 x year FE,155,15,0.30316116832245127,0.5905856288436957,0.010371495131736186,0.0621850361985552,0.11294034379972086,25,False
Z_G100xG100,ACC2004+,S1 Phase-D controls,129,13,10.058706336392827,0.00804648891707449,0.2456929471962903,0.1721496614845168,0.05427940876441209,14,False
Z_G100xG100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.5128552869479641,0.2422727440478093,0.0613625816364598,0.08808022114837806,0.0716109941155313,15,False
Z_G100xG100,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.7354351976053668,0.40792865209113527,0.04265376676389776,0.07590451856272919,0.08851062846386769,25,False
Z_ruralgap_NGA,all,S1 Phase-D controls,284,28,0.36070221909570666,0.5531249955209254,0.006458542103215614,-0.0005694699816263461,0.0009481923105363297,15,True
Z_ruralgap_NGA,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,3.811966677486851,0.06132790548985978,0.06268163311972808,-0.001614804215135047,0.0008270758245954214,16,True
Z_ruralgap_NGA,all,S3 +GDPpc2013 x year FE,284,28,6.188784112239524,0.019326976620704484,0.09651836037185124,-0.0019613356319623182,0.0007884047855391376,26,True
Z_ruralgap_NGA,all,S4 country FE + year FE,284,28,0.2523963548048476,0.6194657862632298,0.002191351337983871,0.00028325740205240615,0.0005638190278614186,41,False
Z_ruralgap_NGA,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,0.3502261078923728,0.5589083870628017,0.003526413598986866,0.000332862493630589,0.0005624586543088599,52,False
Z_ruralgap_NGA,EU15,S1 Phase-D controls,155,15,0.6257920589690867,0.4420992671188373,0.019944643975529863,-0.0012258081703187518,0.0015495567556825212,14,True
Z_ruralgap_NGA,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,3.562104202480414,0.08002038219526819,0.09121603352969931,-0.002439380780031865,0.0012924873100901226,15,True
Z_ruralgap_NGA,EU15,S3 +GDPpc2013 x year FE,155,15,5.034382147696344,0.04154096165631871,0.12252350208783502,-0.002761739771967506,0.0012308628527227653,25,False
Z_ruralgap_NGA,ACC2004+,S1 Phase-D controls,129,13,0.054672960695521924,0.8190642106035727,0.0019124691426911644,-0.00019811922364402465,0.0008473060766733243,14,False
Z_ruralgap_NGA,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.6888492164782345,0.2181641216392174,0.04682296374864603,-0.0008346124236212069,0.0006422282523557123,15,False
Z_ruralgap_NGA,ACC2004+,S3 +GDPpc2013 x year FE,129,13,2.0380667489267745,0.17890720385788073,0.06399748174050124,-0.0010281859630890263,0.0007202155083550288,25,False
Z_lag2_G100,all,S1 Phase-D controls,284,28,2.840430159428003,0.10344494467175502,0.05788331335029373,0.001266391410954734,0.000751408145599956,15,True
Z_lag2_G100,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,1.2721176380617714,0.26929308913118155,0.026654082842326843,0.000769869537847535,0.0006825799052042539,16,True
Z_lag2_G100,all,S3 +GDPpc2013 x year FE,284,28,0.17500582678500518,0.6790095600858489,0.0038965857443616914,0.00030650502150740306,0.0007326749437810594,26,True
Z_lag2_G100,all,S4 country FE + year FE,284,28,5.65577289568897,0.02473565204664019,0.04246222035132419,-0.0011303898057604118,0.0004753158001678783,41,False
Z_lag2_G100,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,2.0712324880261375,0.161593521099353,0.02072955516973496,-0.0007598890035075072,0.0005280022035718285,52,False
Z_lag2_G100,EU15,S1 Phase-D controls,155,15,2.089675884878281,0.17030974516302433,0.07927278772665214,0.0016505858260132595,0.0011418226294974837,14,True
Z_lag2_G100,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,1.0864730803833926,0.3149200578180962,0.04289147808450011,0.0011172942594814914,0.0010719094070536556,15,True
Z_lag2_G100,EU15,S3 +GDPpc2013 x year FE,155,15,0.22267350413051817,0.6442807012940699,0.010383855445425527,0.0005830428716494704,0.0012355667660014843,25,False
Z_lag2_G100,ACC2004+,S1 Phase-D controls,129,13,1.0114251640579188,0.33441085701588247,0.01798480588093776,0.0005044573670294338,0.0005016000735465518,14,False
Z_lag2_G100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,0.058279530536081266,0.8133119663964343,0.0005693647371818322,7.59260328122258e-05,0.0003145087162555779,15,False
Z_lag2_G100,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.0012091089295528212,0.9728330702151694,2.7889991570551054e-05,1.7652446998225696e-05,0.0005076591308830195,25,False
