country_code,nace_r2,year,dii_version,dii_high_share
LV,C16-C18,2019,1,0.057300000000000004
LV,C24_C25,2019,1,0.045
MT,C,2019,1,0.207
MT,C16-C18,2019,1,0.1268
MT,C24_C25,2019,1,0.1981
NL,C,2019,1,0.3431
NL,C16-C18,2019,1,0.3292
NL,C24_C25,2019,1,0.23800000000000002
NO,C,2019,1,0.2918
NO,C16-C18,2019,1,0.3624
NO,C24_C25,2019,1,0.22820000000000001
PL,C,2019,1,0.09390000000000001
PL,C16-C18,2019,1,0.0883
PL,C24_C25,2019,1,0.0687
PT,C,2019,1,0.1378
PT,C24_C25,2019,1,0.0992
RO,C,2019,1,0.0699
RO,C16-C18,2019,1,0.0656
RO,C24_C25,2019,1,0.042
RS,C,2019,1,0.1569
RS,C16-C18,2019,1,0.08549999999999999
RS,C24_C25,2019,1,0.0105
SE,C,2019,1,0.4445
SE,C16-C18,2019,1,0.4403
SE,C24_C25,2019,1,0.3478
SK,C,2019,1,0.12029999999999999
SK,C16-C18,2019,1,0.0592
SK,C24_C25,2019,1,0.030600000000000002
UK,C,2019,1,0.2493
UK,C24_C25,2019,1,0.11560000000000001
AT,C,2020,2,0.19119999999999998
AT,C16-C18,2020,2,0.0872
AT,C24_C25,2020,2,0.1383
BA,C24_C25,2020,2,0.0418
BE,C16-C18,2020,2,0.0981
BG,C24_C25,2020,2,0.0144
CY,C,2020,2,0.0483
CY,C16-C18,2020,2,0.0322
CY,C24_C25,2020,2,0.011399999999999999
CZ,C,2020,2,0.1447
CZ,C24_C25,2020,2,0.13140000000000002
DE,C,2020,2,0.1325
DE,C24_C25,2020,2,0.0891
DK,C,2020,2,0.40269999999999995
DK,C16-C18,2020,2,0.4653
DK,C24_C25,2020,2,0.23759999999999998
EE,C,2020,2,0.1612
EE,C16-C18,2020,2,0.1511
EE,C24_C25,2020,2,0.1284
EL,C24_C25,2020,2,0.0374
ES,C,2020,2,0.1386
ES,C24_C25,2020,2,0.1254
FI,C,2020,2,0.5037999999999999
FI,C24_C25,2020,2,0.35519999999999996
FR,C,2020,2,0.135
FR,C16-C18,2020,2,0.1308
FR,C24_C25,2020,2,0.0617
HR,C,2020,2,0.1374
HU,C,2020,2,0.0823
HU,C16-C18,2020,2,0.06630000000000001
HU,C24_C25,2020,2,0.0482
IE,C,2020,2,0.2527
IE,C16-C18,2020,2,0.2582
IE,C24_C25,2020,2,0.10779999999999999
IT,C,2020,2,0.1479
IT,C16-C18,2020,2,0.1421
IT,C24_C25,2020,2,0.0938
LT,C,2020,2,0.0653
LT,C16-C18,2020,2,0.0337
LT,C24_C25,2020,2,0.036199999999999996
LU,C,2020,2,0.1882
LU,C24_C25,2020,2,0.12209999999999999
LV,C,2020,2,0.045899999999999996
LV,C16-C18,2020,2,0.0333
