n2,same_children,anyflag,pop_ratio,pop_bad,pop_unvalidated,n_pat_children,n_gva_children,stable_strict,stable_lenient,stable
EL54,False,False,,False,True,2,3,False,False,False
EL61,False,False,,False,True,2,3,False,False,False
EL62,False,False,0.9993141307395081,False,False,1,4,False,True,False
EL63,True,False,1.003062050231721,False,False,3,3,True,True,True
EL64,True,False,1.0020878880011945,False,False,5,5,True,True,True
EL65,False,False,,False,True,1,3,False,False,False
ES11,True,False,0.9992248493071059,False,False,4,4,True,True,True
ES12,True,False,1.0005518120208818,False,False,1,1,True,True,True
ES13,True,False,0.9959694454412397,False,False,1,1,True,True,True
ES21,True,False,0.9969865452943918,False,False,3,3,True,True,True
ES22,True,False,0.9910260879074312,False,False,1,1,True,True,True
ES23,True,False,0.9882343000168725,False,False,1,1,True,True,True
ES24,True,False,0.993506228588109,False,False,3,3,True,True,True
ES30,True,False,0.9850734657370704,False,False,1,1,True,True,True
ES41,True,False,1.001467678934892,False,False,9,9,True,True,True
ES42,True,False,0.9913650797129268,False,False,5,5,True,True,True
ES43,True,False,0.9990246965046274,False,False,2,2,True,True,True
ES51,True,False,0.9861567913154667,False,False,4,4,True,True,True
ES52,True,False,0.9854386973688676,False,False,3,3,True,True,True
ES53,True,False,0.9814514414521988,False,False,3,3,True,True,True
ES61,True,False,0.9938128531243412,False,False,8,8,True,True,True
ES62,True,False,0.9854326254195577,False,False,1,1,True,True,True
ES63,False,False,,False,True,0,1,False,False,False
ES64,False,False,,False,True,0,1,False,False,False
ES70,False,False,1.0013883849401841,False,False,5,7,False,True,False
ESZZ,False,False,,False,True,0,1,False,False,False
FI19,False,False,0.9991298952192642,False,False,5,5,False,True,False
FI1B,True,False,0.9959658755697315,False,False,1,1,True,True,True
FI1C,False,False,1.0000646022754858,False,False,5,5,False,True,False
FI1D,False,True,1.0008671912058527,False,False,7,7,False,True,False
FI20,True,False,0.9956593311506365,False,False,1,1,True,True,True
FIZZ,False,False,,False,True,0,1,False,False,False
FR10,True,False,0.9959210560836246,False,False,8,8,True,True,True
FR91,False,True,,False,True,1,0,False,False,False
FR94,False,False,,False,True,1,0,False,False,False
FRB0,True,False,0.9975308646739797,False,False,6,6,True,True,True
FRC1,True,False,0.998969811549254,False,False,4,4,True,True,True
FRC2,True,False,0.9977572153029929,False,False,4,4,True,True,True
FRD1,True,False,0.9979877769837452,False,False,3,3,True,True,True
FRD2,True,False,0.9986051924332983,False,False,2,2,True,True,True
FRE1,True,False,0.9993184373416548,False,False,2,2,True,True,True
FRE2,True,False,0.9985222582822936,False,False,3,3,True,True,True
FRF1,True,False,0.996472406755233,False,False,2,2,True,True,True
FRF2,True,False,1.0001046126487771,False,False,4,4,True,True,True
FRF3,True,False,0.9990178567698528,False,False,4,4,True,True,True
FRG0,True,False,0.9947572346801801,False,False,5,5,True,True,True
FRH0,True,False,0.995083307007161,False,False,4,4,True,True,True
FRI1,True,False,0.9946219294852546,False,False,5,5,True,True,True
FRI2,True,False,0.9977990992804786,False,False,3,3,True,True,True
FRI3,True,False,0.9961121495117097,False,False,4,4,True,True,True
FRJ1,True,False,0.9922835952381196,False,False,5,5,True,True,True
FRJ2,True,False,0.9935913524118738,False,False,8,8,True,True,True
FRK1,True,False,0.998335810256554,False,False,4,4,True,True,True
FRK2,True,False,0.9950419975712613,False,False,8,8,True,True,True
FRL0,True,False,0.9947914299546698,False,False,6,6,True,True,True
FRM0,True,False,0.9910114516216522,False,False,2,2,True,True,True
FRY1,False,False,,False,True,0,1,False,False,False
FRY2,True,False,1.0026554538124126,False,False,1,1,True,True,True
