freq,unit,inet_tec,terrtypo,geo,time,value
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SI,2025,66.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SK,2022,28.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SK,2023,34.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SK,2024,46.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SK,2025,58.5
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,AT,2022,73.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,AT,2023,79.1
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,AT,2024,84.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,AT,2025,88.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BE,2022,5.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BE,2023,14.2
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BE,2024,49.3
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BE,2025,62.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BG,2022,36.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BG,2023,60.8
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BG,2024,81.3
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,BG,2025,79.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CH,2022,75.3
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CH,2023,84.6
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CH,2024,86.8
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CH,2025,94.4
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CY,2022,25.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CY,2023,35.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CY,2024,35.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CY,2025,87.5
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CZ,2022,42.3
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CZ,2023,33.9
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CZ,2024,37.7
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,CZ,2025,52.4
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DE,2022,36.5
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DE,2023,43.9
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DE,2024,49.5
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DE,2025,54.4
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DK,2022,75.0
A,PC_HH,5G_GHZ3P4-3P8,TOTAL,DK,2023,85.0
